date,route,price
2026-05-30,ROMA-OSAKA,2688
2026-05-30,MILANO-OSAKA,2883
2026-05-30,ROMA-TOKYO,2428
2026-05-30,MILANO-TOKYO,2678
2026-05-31,ROMA-OSAKA,2688
2026-05-31,MILANO-OSAKA,2883
2026-05-31,ROMA-TOKYO,2428
2026-05-31,MILANO-TOKYO,2678
2026-06-01,ROMA-OSAKA,2688
2026-06-01,MILANO-OSAKA,2883
2026-06-01,ROMA-TOKYO,2428
2026-06-01,MILANO-TOKYO,2678
2026-06-02,ROMA-OSAKA,3316
2026-06-02,MILANO-OSAKA,2883
2026-06-02,ROMA-TOKYO,2428
2026-06-02,MILANO-TOKYO,2678
2026-06-03,ROMA-OSAKA,3316
2026-06-03,MILANO-OSAKA,2883
2026-06-03,ROMA-TOKYO,2428
2026-06-03,MILANO-TOKYO,2678
2026-06-04,ROMA-OSAKA,3316
2026-06-04,MILANO-OSAKA,2883
2026-06-04,ROMA-TOKYO,2428
2026-06-04,MILANO-TOKYO,3079
2026-06-05,ROMA-OSAKA,3316
2026-06-05,MILANO-OSAKA,2883
2026-06-05,ROMA-TOKYO,3235
2026-06-05,MILANO-TOKYO,3079
2026-06-07,ROMA-OSAKA,3316
2026-06-07,MILANO-OSAKA,2883
2026-06-07,ROMA-TOKYO,3235
2026-06-07,MILANO-TOKYO,3007
2026-06-08,ROMA-OSAKA,3127
2026-06-08,MILANO-OSAKA,2883
2026-06-08,ROMA-TOKYO,3235
2026-06-08,MILANO-TOKYO,3007
2026-06-09,ROMA-OSAKA,3127
2026-06-09,MILANO-OSAKA,2883
2026-06-09,ROMA-TOKYO,3235
2026-06-09,MILANO-TOKYO,3007
2026-06-10,ROMA-OSAKA,3127
2026-06-10,MILANO-OSAKA,2883
2026-06-10,ROMA-TOKYO,3235
2026-06-10,MILANO-TOKYO,3052
2026-06-12,ROMA-OSAKA,3127
2026-06-12,MILANO-OSAKA,2883
2026-06-12,ROMA-TOKYO,3237
2026-06-12,MILANO-TOKYO,3079
2026-06-13,ROMA-OSAKA,3127
2026-06-13,MILANO-OSAKA,2883
2026-06-13,ROMA-TOKYO,3237
2026-06-13,MILANO-TOKYO,3080
2026-06-14,ROMA-OSAKA,3127
2026-06-14,MILANO-OSAKA,2883
2026-06-14,ROMA-TOKYO,3236
2026-06-14,MILANO-TOKYO,3080
2026-06-15,ROMA-OSAKA,3127
2026-06-15,MILANO-OSAKA,2883
2026-06-15,ROMA-TOKYO,2976
2026-06-15,MILANO-TOKYO,2593
2026-06-16,ROMA-OSAKA,3127
2026-06-16,MILANO-OSAKA,2883
2026-06-16,ROMA-TOKYO,2970
2026-06-16,MILANO-TOKYO,2593
2026-06-18,ROMA-OSAKA,3127
2026-06-18,MILANO-OSAKA,2883
2026-06-18,ROMA-TOKYO,3236
2026-06-18,MILANO-TOKYO,2593
2026-06-20,ROMA-OSAKA,3127
2026-06-20,MILANO-OSAKA,2889
2026-06-20,ROMA-TOKYO,2263
2026-06-20,MILANO-TOKYO,2592
2026-06-22,ROMA-OSAKA,0
2026-06-22,MILANO-OSAKA,0
2026-06-22,ROMA-TOKYO,0
2026-06-22,MILANO-TOKYO,0
2026-06-22,ROMA-OSAKA,0
2026-06-22,MILANO-OSAKA,0
2026-06-22,ROMA-TOKYO,0
2026-06-22,MILANO-TOKYO,0
2026-06-23,ROMA-OSAKA,3134
2026-06-23,MILANO-OSAKA,2889
2026-06-23,ROMA-TOKYO,2263
2026-06-23,MILANO-TOKYO,2595
2026-06-24,ROMA-OSAKA,3134
2026-06-24,MILANO-OSAKA,2889
2026-06-24,ROMA-TOKYO,2264
2026-06-24,MILANO-TOKYO,2596
2026-06-25,ROMA-OSAKA,0
2026-06-25,MILANO-OSAKA,2890
2026-06-25,ROMA-TOKYO,2264
2026-06-25,MILANO-TOKYO,2596
2026-06-26,ROMA-OSAKA,3134
2026-06-26,MILANO-OSAKA,2890
2026-06-26,ROMA-TOKYO,2264
2026-06-26,MILANO-TOKYO,2599
2026-06-27,ROMA-OSAKA,3134
2026-06-27,MILANO-OSAKA,2890
2026-06-27,ROMA-TOKYO,2267
2026-06-27,MILANO-TOKYO,2599
2026-06-28,ROMA-OSAKA,3134
2026-06-28,MILANO-OSAKA,2890
2026-06-28,ROMA-TOKYO,2267
2026-06-28,MILANO-TOKYO,2599
2026-06-29,ROMA-OSAKA,3134
2026-06-29,MILANO-OSAKA,2890
2026-06-29,ROMA-TOKYO,2267
2026-06-29,MILANO-TOKYO,2599
2026-06-30,ROMA-OSAKA,3134
2026-06-30,MILANO-OSAKA,2890
2026-06-30,ROMA-TOKYO,2240
2026-06-30,MILANO-TOKYO,2557
2026-07-01,ROMA-OSAKA,3134
2026-07-01,MILANO-OSAKA,0
2026-07-01,ROMA-TOKYO,2240
2026-07-01,MILANO-TOKYO,2557
2026-07-02,ROMA-OSAKA,3134
2026-07-02,MILANO-OSAKA,2922
2026-07-02,ROMA-TOKYO,2240
2026-07-02,MILANO-TOKYO,2557
2026-07-03,ROMA-OSAKA,3134
2026-07-03,MILANO-OSAKA,2922
2026-07-03,ROMA-TOKYO,2271
2026-07-03,MILANO-TOKYO,2587
2026-07-04,ROMA-OSAKA,0
2026-07-04,MILANO-OSAKA,2922
2026-07-04,ROMA-TOKYO,2271
2026-07-04,MILANO-TOKYO,0
2026-07-05,ROMA-OSAKA,3246
2026-07-05,MILANO-OSAKA,2922
2026-07-05,ROMA-TOKYO,2271
2026-07-05,MILANO-TOKYO,2630
2026-07-06,ROMA-OSAKA,0
2026-07-06,MILANO-OSAKA,0
2026-07-06,ROMA-TOKYO,0
2026-07-06,MILANO-TOKYO,0
2026-07-07,ROMA-OSAKA,3246
2026-07-07,MILANO-OSAKA,2922
2026-07-07,ROMA-TOKYO,2298
2026-07-07,MILANO-TOKYO,2629
2026-07-08,ROMA-OSAKA,3246
2026-07-08,MILANO-OSAKA,2922
2026-07-08,ROMA-TOKYO,2298
2026-07-08,MILANO-TOKYO,2629
2026-07-09,ROMA-OSAKA,0
2026-07-09,MILANO-OSAKA,2922
2026-07-09,ROMA-TOKYO,0
2026-07-09,MILANO-TOKYO,2629
2026-07-10,ROMA-OSAKA,0
2026-07-10,MILANO-OSAKA,2922
2026-07-10,ROMA-TOKYO,2627
2026-07-10,MILANO-TOKYO,2629
2026-07-11,ROMA-OSAKA,3166
2026-07-11,MILANO-OSAKA,2922
2026-07-11,ROMA-TOKYO,2627
2026-07-11,MILANO-TOKYO,2779
2026-07-12,ROMA-OSAKA,3166
2026-07-12,MILANO-OSAKA,2922
2026-07-12,ROMA-TOKYO,2786
2026-07-12,MILANO-TOKYO,2779
2026-07-13,ROMA-OSAKA,3166
2026-07-13,MILANO-OSAKA,3102
2026-07-13,ROMA-TOKYO,2786
2026-07-13,MILANO-TOKYO,2881
2026-07-14,ROMA-OSAKA,3166
2026-07-14,MILANO-OSAKA,3102
2026-07-14,ROMA-TOKYO,2786
2026-07-14,MILANO-TOKYO,2881
2026-07-15,ROMA-OSAKA,3166
2026-07-15,MILANO-OSAKA,3102
2026-07-15,ROMA-TOKYO,2790
2026-07-15,MILANO-TOKYO,2881
2026-07-16,ROMA-OSAKA,3166
2026-07-16,MILANO-OSAKA,3102
2026-07-16,ROMA-TOKYO,2790
2026-07-16,MILANO-TOKYO,2601
2026-07-17,ROMA-OSAKA,3264
2026-07-17,MILANO-OSAKA,3102
2026-07-17,ROMA-TOKYO,2790
2026-07-17,MILANO-TOKYO,2601
